etdid,title,author,advisor,university,degree,program,year
30,xray diffraction analysis of the structure of deoxyribonucleic acid,harold winfield wyckoff,,massachusetts institute of technology,doctor of philosophy,biology,1955
31,toward a new architecture for industry,nkeith scott,,massachusetts institute of technology,master in architecture,,
32,the raman spectra and structure of silica and the sodasilica glasses,george barwick wilmot,,massachusetts institute of technology,doctor of philosophy,chemistry,1954
33,the response of continuous systems to random noise fields,,,massachusetts institute of technology,doctor of philosophy,physics,1955
34,the community costs resulting from growth,robert edward coughlin,,massachusetts institute of technology,master in city planning,city and regional planning,1955
35,lateral dynamics and control of rail vehicles,robert lee jeffcoat,,massachusetts institute of technology,doctor of philosophy,mechanical engineering,1974
36,hydraulic damper design for a knee prosthesis,eric hershler bott,,massachusetts institute of technology,bachelor of science,mechanical engineering and physics,1975
37,modeling and simulation of a steam power station,alberto azuma,,massachusetts institute of technology,master of science,mechanical engineering,1975
38,modal analysis and control of flexible manipulator arms,octavio maizza neto,,massachusetts institute of technology,doctor of philosophy,mechanical engineering,1974
39,grammar for vision,leon gardner shiman,,massachusetts institute of technology,doctor of philosophy,mathematics,1975
40,air rights development of urban transit corridors,,,massachusetts institute of technology,master of architecture,architecture,1975
41,housingbox and panel,william harold soupcoff,,massachusetts institute of technology,master of architecture,architecture,1975
42,an additive approach to the design of urban paths and edges,david cylkowskt,,massachusetts institute of technology,master of architecture,architecture,1975
43,natural forces and the craft of building site reconnaissance,vivian ellen loftness,,massachusetts institute of technology,master of architecture,architecture,1975
44,the corrosion of steel in saline solutions of hydrogen sulfide,sanford,,massachusetts institute of technology,,chemical engineering,1945
45,the chromiumoxygenhydrogen equilibrium in liquid iron,hsinmin chen,,massachusetts institute of technology,doctor of science,metallurgy,1945
46,a study of a railroad terminal for seattle,,william wilson wurster,massachusetts institute of technology,master in architecture,architecture aud planning,1946
47,theoretical investigation of standing waves in hydraulic structures,archie allan stone,,massachusetts institute of technology,,,1946
48,design of dynamic analyzer,richard y newton,,massachusetts institute of technology,master of science,mechanical engineering,1946
49,on the fourier series of the square of a function,stephen harry crandall,,massachusetts institute of technology,doctor of philosophy,mathematics,1946
50,trawler design,,,massachusetts institute of technology,,,1946
51,formatting variables and typeface variations of dotmatrix print and their effect on reading comprehension and reading speed,,,virginia polytechnic institute and state university,doctor of education,,1986
52,a comparison of the efficiency and effectiveness of two models for determining the cost of special education programs,kenneth l kienas,shirley a underwood,virginia polytechnic institute and state university,doctor of education,administration and supervision of special education,1986
53,fundamental adhesive studies of block copolymers,margaret mary sheridan,tc ward,virginia polytechnic institute and state university,doctor of philosophy,chemistry,1985
54,december 1976,richard jfenchak,david j parks,virginia polytechnic institute and state university,doctor of education,educational administration,1986
55,assessment of coal liquefaction behavior through product characterization with hyphenated chromatographicspectroscopic methods,john william hellgeth,,virginia polytechnic institute and state university,doctor of philosophy,chemistry,1986
56,scaling effect in cone penetration testing in sand,walid khaled eid,,virginia polytechnic institute and state university,doctor of philosophy,civil engineering,1987
57,intelligent and integrated load management system,mutasim fuad baba,saifur rahman,virginia polytechnic institute and state university,doctor of philosophy,electrical engineering,1987
58,attentional demand evaluation for an automobile movingmap navigation system,thomas,,virginia polytechnic institute and state university,doctor of philosophy,industrial engineering and operations research,1987
59,refractometry by total reflection,,j alexander sheer,virginia polytechnic institute and state university,doctor of philosophy,geological sciences,1987
60,the systematics and ecology of boletes with special reference to the genus suillus and its ectomycorrhizal relationships in nepal,henry van tuyl cotter,,virginia polytechnic institute and state university,doctor of philosophy,botany,1987
61,design and characterization of zeolite supported cobalt carbonyl catalysts,melissa clare connaway,,virginia polytechnic institute and state university,doctor of philosophy,chemistry,1987
62,the agency cost of financial decision making an empirical analysis,claire elaine crutchley,daka j,virginia polytechnic institute and state university,doctor of philosophy,finance,1987
63,an analysis of trends and conditions in school districts with black superintendents and a composite profile of the black superintendent at hisher initial appointment,david alexander dr ronald mckeen,houston conley,virginia polytechnic institute and state university,doctor of education,educational administration,1986
64,dielectric characterization using a wideband dielectric filled cavity wdfc,mohammad ali saed,ronald d riess,virginia polytechnic institute and state university,doctor of philosophy,electrical engineering,1987
65,lamb wave propagation in laminated composite plates,bruce s tang,eg henneke ii,virginia polytechnic institute and state university,doctor of philosophy,engineering mechanics,1988
66,notill establishment of switchgrass and caucasian bluestem,,dale d wolf,virginia polytechnic institute and state university,doctor of philosophy,agronomy,1988
67,a comparison of the circumplex model of family functioning and maccoby and martins parenting typologies,,,virginia polytechnic institute and state university,doctor of philosophy,family and child development,1988
68,,john,,virginia polytechnic institute and state university,doctor of philosophy,botany,1988
69,prediction model for the onset of edgeeffect delamination at holes in composite laminates,doron shalev,,virginia polytechnic institute and state university,doctor of philosophy,engineering science and mechanics,1988
70,isolation and characterization of ferulic acid carbohydrate esters from corn hull zea mays,robert nicholas antenucci,,virginia polytechnic institute and state university,doctor of philosophy,food science and technology,1988
71,a descriptive and exploratory study of peer coaching and selected factors in the working environment of elementary middle and high school teachers in a large suburban virginia public school system,lena hall,orion white,virginia polytechnic institute and state university,doctor of education,educational administration,1988
72,an analysis of correlated curve trend experiments in eucalyptus grandis,nilsen john,,virginia polytechnic institute and state university,doctor of philosophy,forestry,1988
73,the assessment of behavior patterns personality characteristics and theoretical orientations for masters level counseling students,,carl mcdaniels,virginia polytechnic institute and state university,doctor of education,counselor education,1988
74,suboptimal period design for a maneuvering missile to evade tracking filters,burns scott,harold l stalford,virginia polytechnic institute and state university,doctor of philosophy,aerospace and ocean engineering,1988
75,german high school history textbooks how well do they deal with the rise and fall of the third reich,,norma jean peters,virginia polytechnic institute and state university,doctor of education,curriculum and instruction,1988
76,assessment of a mentor program on selfconcept and achievement variables of middle school underachievers,helene aiello,ronald mckeen,virginia polytechnic institute and state university,doctor of education,administration and supervision of special education,1988
77,the value of state level textbook adoption systems as perceived by selected textbook publishing personnel,beryle crockett santon,cs rogers,virginia polytechnic institute and state university,doctor of education,curriculum and instruction,1988
78,the relationships of occupational stress and certain other variables to job satisfaction of licensed professional counselors in virginia,,hild getz,virginia polytechnic institute and state university,doctor of education,counseling and student personnel services,1988
79,synthesis characterization and kinetic investigations of heterophase materials prepared using group transfer polymerization,ann marie hellstern,hm bell,virginia polytechnic institute and state university,doctor of philosophy,chemistry,
80,structureproperty behavior of polyimide homopolymers copolymers and blends,,,virginia polytechnic institute and state university,doctor of philosophy,materials engineering science,1989
81,whisper out loud spirochete a living newspaper 19371939 produced by the federal theatre project an instrument for public health education in the war on syphilis,libra jan cleveland gysel,albert wiswell,virginia polytechnic institute and state university,doctor of education,adult and continuing education,1989
82,supported aqueous phase catalysis,juan p arhancet,,virginia polytechnic institute and state university,doctor of philosophy,chemical engineering,1989
83,structureproperty relationships of electron beam irradiated monomeric and polymeric systems,ha chul kim,garth l wilkes,virginia polytechnic institute and state university,doctor of philosophy,chemical engineering,1989
84,studies on the stability of thin films in bubbleparticle adhesion,jorge luis yordan hernandez,,virginia polytechnic institute and state university,doctor of philosophy,mining and minerals engineering,1989
85,the kinetics and thermodynamics of clay mineral reactions,john alan chermak,,virginia polytechnic institute and state university,doctor of philosophy,geology,1989
86,analysis of metal matrix composite structures using a micromechanical constitutive theory,robert thomas arenburg,dt mook,virginia polytechnic institute and state university,doctor of philosophy,engineering mechanics,1988
87,effect of a heavy metal on ecto and vesiculararbuscular mycorrhizal fungi the physiology ultrastructure and ecology of copper stress and tolerance,christine mae gruhn,,virginia polytechnic institute and state university,doctor of philosophy,biology,1989
88,utilization of crab processing waste and chitin associated with the waste as feed for ruminants,,gj flick,virginia polytechnic institute and state university,doctor of philosophy,animal science,1989
89,the adoption of innovative wood processing technologies in the building products industry,david h cohen,fa kamke,virginia polytechnic institute and state university,doctor of philosophy,wood science and forest products,
90,strategies and tactics to access intuition a look at the moment of solution,,marcie boucouvalas,virginia polytechnic institute and state university,doctor of education,adult continuing education,1990
91,ethics and the principalship,david alexander jim,,virginia polytechnic institute and state university,doctor of education,educational administration,1990
92,the recruitment and retention of african american students in vocational teacher education,lillie mae anderton,joyce williamsgreen,virginia polytechnic institute and state university,doctor of education,vocational and technical education,1990
93,optical fiber modal domain sensors for dynamic strain measurement,duke rj pieper tc poon,ro claus,virginia polytechnic institute and state university,doctor of philosophy,electrical engineering,1990
94,an investigation of the relationship between playfulness and selfesteem,susan semaniclauth,,virginia polytechnic institute and state university,doctor of philosophy,family and child development,1990
95,towards a culturally identifiable architecture,chianyeun chang,marshall fishwick,virginia polytechnic institute and state university,doctor of philosophy,environmental design and planning architecture,1990
96,experimental study of earth pressures on retaining structures,michael duncan,,virginia polytechnic institute and state university,doctor of philosophy,civil engineering,1990
97,transient moisture effects on the viscoelasticity of synthetic fibers and composites,zhiqiang wang,,virginia polytechnic institute and state university,doctor of philosophy,engineering mechanics,1990
98,environmental influence on postemergence chemical control of crabgrass digitaria spp in turf,william john chism,s wayne bingham,virginia polytechnic institute and state university,doctor of philosophy,weed science,1990
99,the effect of surface modification on the crystal growth of iron oxides,,john g dillard,virginia polytechnic institute and state university,doctor of philosophy,chemistry,1990
100,synthesis of welldefined single and multiphase polymers using various living polymerization methods,,,virginia polytechnic institute and state university,doctor of philosophy,chemistry,1990
101,eleventh and twelfth century latin epigram,priscilla ann miner,,university of california,doctor of philosophy,comparative literature,1970
102,a program verifier,james cornelius king,,,doctor of philosophy,computer science,1969
103,the jews in mexico a history with special emphasis on the period from 1857 to 1930,corinne azen krause,,university of pittsburgh,doctor of philosophy,arts and sciences,1970
104,representations of finitely generated nilpotent groups,,,yale university,doctor of philosophy,,1970
105,structural and molecular orbital studies of carboranes,thomas frederick koetzle,,harvard university,doctor of philosophy,chemistry,1969
106,nonlinear combustion instability in liquid propellant rocket engines,eugene alexander powell,,georgia institute of technology,doctor of philosophy,aerospace engineering,1970
107,visual masking and the temporal course of lateral inhibition in the human visual system,charles wayne white,,stanford university,doctor of philosophy,psychology,1970
108,financing medical care a welfare economics analysis,irwin garfinkel,lecturer philip beeth,the university of michigan,doctor of philosophy,special work and economics,1970
109,an analysis of the quality characteristics of markovian systems,ronald lessing,,university of maryland,doctor of business administration,,1970
110,experiments on the internal intermittency in turbulent flow,albert yishuong kuo,,the johns hopkins university,doctor of philosophy,,1970
111,the new england colonists english image 15501714,david hudson corkran iii,,university of california,doctor of philosophy,history,1970
112,nonlinear analysis of reinforced concrete frames and panels,herbert alexander franklin,,university of california,doctor of philosophy,engineering,1970
113,physicalorganic studies of organotin compounds,victor seth krimsley,,university of california,doctor of philosophy,chemistry,1970s
114,the french chanson in the fourteenth century,margaret paine hasselman,,university of california,doctor of philosophy,music,1970
115,the compact euclidean space forms of dimension four,ronald dorian levine,,university of california,doctor of philosophy,mathematics,1970
116,the equilibrium and stability of the gaseous component of the galaxy,sanford alan kellman,,university of california,doctor of philosophy,astronomy,1970
117,rate of convergence and optimality properties of root finding and optimization algorithms,arthur ira cohen,,university of california,doctor of philosophy,engineering,1970
118,control structures for programming languages,david a fisher,,,doctor of philosophy,computer science,1970
119,physicochemical model analysis for compressibility of pure clay,bilgin erel,,,doctor of philosophy,,1970
120,american expansionist sentiment and the annexation of hawaii,george frankling pearce,,,doctor of arts,history,
121,an analysis of the instruction execution rate in certain computer structures,william daniel strecker,,,doctor of philosophy,electrical engineering,
122,andrew johnsons veto of the first reconstruction act,angel luis ortizgarcia,,,doctor of arts,history,
123,methods for the computerimplemented solution of a class of floor plan design problems,john grason,,carnegie institute of technology,doctor of philasophy,electrical engineering systems and communication sciences,
124,mortality patterns of a group of retired asbestos workers,pierre decoufle,,university of pittsburgh,doctor of science,hygiene,1970
125,novelty as reinforcement for children,marian monyok wilson,,university of pittsburgh,doctor of philosophy,arts and sciences,1970
126,an analysis of the shorthand textbook used in american high schools prior to 1900,thomas paul bicanich,,university of pittsburgh,doctor of education,education,1970
127,a study of the street academy program in pittsburgh,charles allen,,university of pittsburgh,doctor of education,education,1970
128,developing body image and skills of orientation mobility and social competence in preschool multiply handicapped blind children,mary eva welfer moore,,university of pittsburgh,doctor of philosophy,education,1970
129,an analysis of the distressed school district commonwealth of pennsylvania,john j cairns,,university of pittsburgh,doctor of education,education,1970
130,utilization and views of available health care among residents in three poverty neighborhoods in pittsburgh pennsylvania,earl donald hollander,,university of pittsburgh,doctor of philosophy,social work,1970
131,class numbers of positive definite quaternary forms,paul ponomarev,,yale university,doctor of philosophy,,1970
132,rational data for isomorphism of lie algebras bruce,,,yale university,doctor of philosophy,,1970
133,heat as a probe of superfluid helium flow richard,,,yale university,doctor of philosophy,,1970
134,the medieval muslim attitude toward youth hasan,,,yale university,doctor of philosophy,,1970
135,the role of cellular adhesiveness in amphibian gastrulation,,,yale university,doctor of philosophy,,1970
136,lasparagine biosynthesis and its control,tingchao chou,,yale university,doctor of philosophy,pharmacology,1970
137,the normative and empirical implications of the budgetary processes of four mediumsize cities david,,,yale university,doctor of philosophy,,1970
138,the relation of automatization to the reading process in children and adolescents,charles h drake,,harvard university,doctor of education,education,1970
139,organogermanium and organosiliconnitrogen compounds,alan hunt bates,,harvard university,doctor of philosophy,chemistry,1970
140,structural and molecular orbital studies of carboranes,thomas frederick koetzle,,harvard university,doctor of philosophy,chemistry,1969
141,stereoselectivity in the thermal rearrangement of an optically active methylenecyclobutane,eric thor fossel,,harvard university,doctor of philosophy,chemistry,1970
142,kinematics and dynamics of reactive collisions,peter emil siska,,harvard university,doctor of philosophy,chemistry,1969
143,a study of flow conditions in shaft spillways,yusuf g mussalli,,georgia institute of technology,doctor of philosophy,civil engineering,1969
144,the reaction of atomic oxygen with organic compounds,arthur joseph mosher,,georgia institute of technology,doctor of philosophy,chemistry,1970
145,nonlinear combustion instability in liquid propellant rocket engines,eugene alexander powell,,georgia institute of technology,doctor of philosophy,aerospace engineering,1970
146,the effects of partially coherent radiation on the performance of an optical heterodyne receiver,charles franklin morris jr,,georgia institute of technology,doctor of philosophy,electrical engineering,1970
147,kinetics of aerobic utilization of mixed sugars by heterogeneous microbial populations,sambhunath ghosh,,georgia institute of technology,doctor of philosophy,civil engineering,1969
148,composition of group ii organometallic and metal hydride compounds in ether solvents,james robinson,,georgia institute of technology,doctor of philosophy,chemistry,1969
149,commodity market dynamics a systems analysis of fundamental relationships,robert davis landel,,georgia institute of technology,doctor of philosophy,industrial and systems engineering,1969
150,spatial sampling and filtering in nearfield measurements,edward bennett joy,,georgia institute of technology,doctor of philosophy,electrical engineering,1970
151,a dream of property the theme of identity in anthony trollopes first seven novels,john robert crull burroughs,,stanford university,doctor of philosophy,english,1970
152,microwave enhanced superconductivity,kenneth wayne shepard,,stanford university,doctor of philosophy,physics,1970
153,adaptive least squares optimization subject to linear equality constraints,otis lamont frost iii,,stanford university,doctor of philosophy,electrical engineering,1970
154,enzymic and acid cyclizations of squalene oxide analogs,robert paul hanzlik,,stanford university,doctor of philosophy,chemistry,1970
155,on the cognitive structure of noun phrases memory for prenominal adjectives in ordinary english sentences,gary monroe olson,,stanford university,doctor of philosophy,psychology,1970
156,visual masking and the temporal course of lateral inhibition in the human visual system,charles wayne white,,stanford university,doctor of philosophy,psychology,1970
157,morphological aspects of american italian in san francisco,yole correazoli,,stanford university,doctor of philosophy,linguistics,1970
158,substituted piperazines as potential schistosomicides,carmon maria mercado,,the university of michigan,doctor of philosophy,,1970
159,thermolysis of lithium cyclobutoxides,krishnan sundaresan,,the university of michigan,doctor of philosophy,,1970
160,educational administration and educational data processing the first decade a descriptive study of selected michigan schools,george babich sr,,the university of michigan,doctor of philosophy,,1970
161,and,gunnar wayne niemi,,the university of michigan,dector of philosophy,,1970
162,nonbreeding surplus and population structure of the redwinged blackbird agelaius phoeniceus,louis joseph laux jr,,the university of michigan,doctor of philosophy,zoology,1970
163,infrared internal reflectance spectroscopic studies of the surface chemistry of activated carbon,james stewart mattson,,the university of michigan,doctor of philosophy,,1970
164,portfolio balance growth and longrun balanceofpayments adjustment,john elliott morton,,the university of michigan,doctor of philosophy,economics,1970
165,,,,university of maryland,doctor of philosophy,,1970
166,ionospheric parameters deduced from langmuir probe measurements,frank tsungchien huang,,university of maryland,doctor of philosophy,,1970
167,relationship between slow drift and smooth pursuit eye movements,robert jesse cunitz,,university of maryland,doctor of philosophy,,1970
168,ultrasonic investigation of strong coupling superconductivity in lead,richard lee sebastian,,university of maryland,doctor of philosophy,,1970
169,thermal reorganizations of isopropenylcycloheptatrienes studies of homoconjugation,douglas warren reichard,,university of maryland,doctor of philosophy,,1970
170,analysis of cyclotrontype electric lenses and the effects of posts,chang sun han,,university of maryland,doctor of philosophy,,1970
171,an analysis of the quality characteristics of markovian systems,ronald lessing,,university of maryland,doctor of business administration,,1970
172,photochemical cistrans isomerization of bstyrylferrocene,natalia pisker trifunac,,california institute of technology,doctor of philosophy,,1969
173,paranormal operators on a hilbert space,glenn richard luecke,,california institute of technology,doctor of philosophy,,1970
174,tunneling in schottky barriers,,,california institute of technology,doctor of philosophy,,
175,part i kinetics of coarsening of the gammaprime percipitate in nickelsilicon alloys part ii rate of crystallization of an amorphous fepc alloy,prabhat kumar rastogi,,california institute of technology,doctor of philosophy,,1970
176,an experimental study of the mobility of edge dislocations in pure copper single crystals,kenneth mark jassby,,california institute of technology,doctor of philosophy,,1969
177,filtering nmr spectra,george arthur petersson,,california institute of technology,doctor of philosophy,,1970
178,experimental study of satallite wakes in a simulated ionospheric plasma,donald lawrence blumenthal,,california institute of technology,doctor of philosophy,,1970
179,subcellular localization of glutamic acid and other 3hamino acids in cerebral cortical slices of the rat,michael j kuhar,,jonns hopkins university,doctor of philosophy,,1970
180,formal characteristics of speech which mothers address to their young children,,,johns hopkins university,doctor of philosophy,,1970
181,experiments on the internal intsrmittency in turbulent flow,albert yishuong kuo,,the johns hopkins university,doctor of philosophy,,1970
182,exchange interaction model of ferromagnetism,hsinhsiung chen,,the jokns hopkins university,doctor of philosophy,,1970
183,racial and social class differences in the play of a parentchild simulation game,paul t mcfarlane,,johns hopkins university,doctor of philosophy,,1970
184,i the photolysis of 12diphenylcyclobutene ii the synthesis of 910cyclobutenophenanthrene from 910dimethylene910diphenylcyclobutene iii pyrolysis of 2methylene3456dibenzo34 910phenanthro spirobicyclohexane iv the decomposition of nnitrosoketimines,john paul anhalt,,johns hopkins university,doctor of philosophy,,1970
185,an analytical treatment of twophase flow during infiltration,richard lee brustkern,,colorado state university,doctor of philosophy,,1970
186,diphenylmethylbishydroperoxide an anomalous product from the ozonolysis of tetrapheny lethy lene,william john verzino jr,,colorado state university,doctor of philosophy,,1970
187,polonium210 in soils and plants,wayne richard hansen,,colorado state university,doctor of philosophy,,1970
188,kinetics of the cerium ivvanadium iv reaction in aqueous perchloric acid solution,robert leighton taylor,,colorado state university,doctor of philosophy,,1970
189,interaction in twoway classifications without replication,dallas eugene johnson,,colorado state university,doctor of philosophy,,1970
190,filters with minimum amplifier sensitivity,,,colorado state university,doctor of philosophy,,1971
191,visible cw optical parametric oscillators,james forrest young,,stanford university,doctor of philosophy,electrical engineering,1969
192,adaptive least squares optimization subject to linear equality constraints,otis lamont frost iii,,stanford university,doctor of philosophy,electrical engineering,1970
193,a penner,tran nhu chuong,associate professor louis,the university of south florida,doctor of philosophy,psychology,1976
194,studies involving thienopyridine and thienopyrazine analogs of biologically active molecules,fred wayne clough,,university of south florida,doctor of philosophy,chemistry,1976
195,academic advising an approach to evaluation,,,university of south florida,doctor of philosophy,education,1976
196,on generalizations of continuity,david alon rose,,university of south florida,doctor of philosophy,mathematics,1977
197,energy transfer and kinetic studies of electrochemiluminescence of aromatic hydrocarbons,thomas david santa cruz,,the university of south florida,doctor of philosophy,,1976
198,the effects of textbook instruction manipulatives and imagery on recall of the basic multiplication facts,,,the university of south florida,doctor of philosophy,education,1975
199,contributions to the existence and stability of solutions to nonlinear volterra integral equations,,,the university of south florida,doctor of philosophy,mathematics,1975
200,conduction mechanisms in low breakdown voltage silicon pn junctions,,,university of florida,doctor of philosophy,,1974
201,,,,,doctor of philosophy,,1979
202,late quaternary lakes in the ziwayshala basin southern ethiopia,,,,,,1979
203,from shaykuisu to babism a study in charismatic renewal in shīcī islam,,,university of cambridge,,oriental studies,1979
204,a genetic analysis of maturation in tomatoes in terms of components of earliness,,,university of toronto,doctor of philosophy,,1964
205,flow of low density air over a heated flat plate at mach no 05,,,university of toronto,doctor of philosophy,,1964
206,statistical theory of selection selection problems,jarnail singh,,the university of toronto,doctor of philosophy,,1963
207,nonlinear feedback configurations in the theory of invariance,mostafa ahmed hassan,,university of toronto,doctor of philosophy,electrical engineering,1963
208,mental forms creating a study in blakes thought and symbols,edward j rose,,university of toronto,doctor of philosophy,,1963
209,a factor analytic model for longitudinal data,clement dassa,,university of toronto,doctor of philosophy,educational theory,1979
210,effects of stimulation and suppression of the hippocampus on learning and memory,mauro caudarella,,university of toronto,doctor of philosophy,psychology,
211,the development of new ultrasonic imaging techniques for the early detection of breast cancer,francis stuart foster,,university of toronto,doctor of philosophy,medical biophysics,1979
212,work and family in a contemporary urban industrial society an analysis of of canadian data,,,university of toronto,doctor of philosophy,sociology,1980
213,baryon decay in the quark model,roman koniuk,,university of toronto,doctor of philosophy,physics,1980
214,selective chemical modification of polysaccharides,mansur yalpani,,university of british columbia,doctor of philosophy,chemistry,1980
215,transitivity identity conservation and equivalence conservation of a solid continuous quantity,gary keith humphrey,,university of british columbia,master of arts,psychology,1975
216,maximum likelihood identification of linear discretetime systems,michel de glas,,university of british columbia,master of applied science,electrical engineering,1976
217,squamish socialization,joan ryan,,university of british columbia,doctor of philosophy,anthropology and sociology,1973
218,studies in the synthetic utility of the dianion of bketoesters,stuart nicholas huckin,,university of british columbia,doctor of philosophy,chemistry,1973
219,superconductivity in thin films,ram das chaudhari,,university of british columbia,doctor of philosophy,physics,1963
220,the development of a stand model for douglas fir,,,university of british columbia,doctor of philosophy,forestry,1964
221,kim lin chew,,,university of british columbia,doctor of philosophy,mathematics,1965
222,dynamics of a theta pinch discharge in a transverse magnetic field,william leung lee,,university of british columbia,doctor of philoscphy,physics,1966
223,synthetic studies in indole alkaloids,constantine gletsos,,university of british columbia,doctor of philosophy,chemistry,1968
224,design of a distributed unix kernel and its modelling in csp trevor,,,university of melbourne,doctor of philosophy,computer science,1984
225,earth science in the scientific revolution 16001728,,,university of melbourne,doctor of philosophy,history,1985
226,landscape of desire and menace a literary study of medieval french garden imagery,mary luserna flintoft,,university of melbourne,doctor of philosophy,french,1981
227,the formation of the music criticism of hector berlioz 18231837,kerry rosaleen murphy,,melbourne university,doctor of philosophy,music,1984
228,wave propagation in density stratified fluids,john anthony gear,,university of melbourne,doctor of philosophy,mathematics,1984
229,polyketide quinones,peter james chalmers,,university of melbourne,doctor of philosophy,organic chemistry,1983
230,the development of the art of arnold shore,roger dedman,,university of melbourne,doctor of philosophy,fine arts,1984
231,moral development in early childhood,rosemary anne milne,,university of melbourne,doctor of philosophy,,1984
232,a study of new safaitic inscriptions from jordan by vincent a clark,,,university of melbourne,doctor of philosophy,middle eastern studies,1979
233,explorations in curiosity breadth and depth of interest curiosity styles,,,university of melbourne,doctor of philosophy,,1985
234,the theory of international trade in captial goods,murdo alesdair macdonald smith,,university of oxford,,,1973
235,constructive mathematics its set theory and practice,douglas sutherland bridges,,university of oxford,doctor of philosophy,,1974
236,instabilities in interstellar space,david leslie giaretta,,university of oxford,doctor of philosophy,,1977
237,organic photochemistry,michael thompson,,university of oxford,doctor of philosophy,,1978
238,studies in relaxation,savas hadjipavlou,,oxford university,doctor of philosophy,theoretical chemistry,1978
239,some problems in probability theory,,,university of oxford,doctor of philosophy,,
240,dot and stripe arrays as surface acoustic wave reflectors,andrew stove,,,doctor of philosophy,,1980
241,diffraction properties of deformed copper single crystals,vanessa cheel,,oxford university,doctor of philosophy,,1980
242,studies of disorder in fastionics and of a nuclear quadrupole interaction in ordered magnets,,,university of oxford,doctor of philosophy,theoretical physics,1980
243,an analysis of discretisation methods for ordinary differential equations,neil pitcher,,,,,1980
244,a history of culture contact in northeastern new caledonia 17741870,bronwen douglas,,australian national university,,,1972
245,pollen sedimentation in relation to the quaternary vegetation history of the snowy mountains of new south wales,ji raine,,australian national university,doctor of philosophy,,1974
246,taim bilong bipo investigations towards a prehistory of the papuanew guinea highlands,j peter white,,australian national university,doctor of philosophy,,1967
247,yuan sanqu a study of the prosody and structure of xiaoling contained in the sanqu anthology yangchun baixue compiled by yang chaoying,kurt werner radtke,,australian national university,doctor of philosophy,,1974
248,the origins of the national front for the liberation of south vietnam,carlyle alan thayer,,australian national university,doctor of philosophy,international relations,1977
249,the demography of a thai village methodological considerations and substantive conclusions from field study in a central plains community,,,australian national university,doctor of philosophy,social sciences,
250,the getting of data a case study from the recent industries of australia,lan johnson,,australian national university,doctor of philosophy,,1979
251,some aspects of santa barbara channel prehistory,robert linville hoover,,university of california,doctor of philosophy,anthropology,
252,,,,university of california,doctor of philosophy,,1971
